datetime,Mean CH  - layer 2 (Principal Aquifer (Outside Corcoran))
8/1/2007,83.83674819
9/1/2007,83.80941699
10/1/2007,83.78691766
11/1/2007,83.75417622
12/1/2007,83.73842412
1/1/2008,83.71316215
2/1/2008,83.69105134
3/1/2008,83.67391659
4/1/2008,83.64971089
5/1/2008,83.6247233
6/1/2008,83.57575327
7/1/2008,83.52669447
8/1/2008,83.47895557
9/1/2008,83.42308797
10/1/2008,83.35628789
11/1/2008,83.27325705
12/1/2008,83.17629273
1/1/2009,83.06189882
2/1/2009,82.86097372
3/1/2009,82.71447482
4/1/2009,82.30968533
5/1/2009,81.59540695
6/1/2009,80.56265864
7/1/2009,79.93482305
8/1/2009,78.98924441
9/1/2009,77.98145892
10/1/2009,76.9514363
11/1/2009,75.67385657
12/1/2009,75.33136705
1/1/2010,75.09395276
2/1/2010,74.92661656
3/1/2010,74.81501834
4/1/2010,74.73815004
5/1/2010,74.67278911
6/1/2010,74.60201322
7/1/2010,74.5290123
8/1/2010,74.44468725
9/1/2010,74.36879425
10/1/2010,74.28221342
11/1/2010,74.20325033
